Date of Issue,Subject,Brief Description,url,
02-02-2017,Risk Management and Inter-bank Dealings: Permitting Non Resident Indians (NRIs) access to Exchange Traded Currency Derivatives (ETCD) market,"NRIs permitted to access exchange traded currency derivatives markets to hedge currency risk arising out of their investments in India under FEMA, 1999, subject to the stipulated terms and conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT221E57857AE80C24FC6AB41C53F2C7E8580.PDF,
,"Foreign Exchange Management Act, 1999 (FEMA)Foreign Exchange (Compounding Proceedings) Rules, 2000 (the Rules) -Compounding of Contraventions under FEMA, 1999",Compounding of offences regarding delay in filing Annual Return on Foreign Liabilities and Assets delegated to Regional Offices of RBI except Kochi and Panaji.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI220FDD975DFECC8441DBE5D689B47BD9E57.PDF,
12-01-2017,Evidence of Import under Import Data Processing and Monitoring System (IDPMS),"Submission of hard copy of Evidence of Import documents, i.e. Bill of Entry, discontinued with effect from December 01, 2016, as it is available in Import Data Processing and Monitoring System (IDPMS).",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI212707C18CA277943E4968FA7B1C6CD8D14.PDF,
,,,,
2016,,,,
,,,,
27-12-2016,Purchase and sale of securities other than shares or convertible debentures of an Indian company by a person resident outside India,"To provide flexibility to the manner in which non convertible debentures/bonds issued by Indian companies may be acquired by FPIs, FPIs allowed to transact in such instruments either directly of in any manner as per the prevalent/approved market practice.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FPICB36B2DF1310034DDFAC3FB502EC93A86A.PDF,
07-12-2016,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Eighteenth Amendment) Regulations, 2016","Amended Schedule I of  the Foreign  Exchange  Management  (Transfer  or  Issue  of  Security  by  a  Person  Resident  
outside India) Regulations, 2000",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA381BD21655263F347D58DB78881E692427C.PDF,
25-11-2016,"Corrigendum to RBI Notification Foreign  Exchange  Department No.  FEMA.362/2016-RB  dated  February 15,  2016 bearing  G.S.R.No.166  (E)  ",Sr No. 9.3 and 9.3.1. of paragraph 2(C)(iv)  with respect to Air Transport Services substituted.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA362246BD680C5B04FC3B0F3E86E422B9128.PDF,
17-11-2016,Master Direction -Insurance (Updated as on date),,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/05MD56DF4232873F466191DC23F39F1012DD.PDF,
,Investment by FPI in corporate debt securities,"Eligible instruments for investment by FPIs to include: Unlisted     corporate     debt     securities     in     the     form     of     non- convertible  debentures/bonds  issued  by  public  or  private  companies  subject  to  minimum   residual  maturity  of  three  years  and  end  use -restriction  on  investment  in  real estate  business,  capital  market  and  purchase  of  land and securitised debt instruments. Maximum limit for FPI investment in unlisted debt securities and securitised debt instruments extended to Rs.35000crore.  ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI1383E9226650DA1492D8702A1C397F95A3A.PDF,
,"Foreign Exchange Management (Insurance) Regulations, 2015","Notifies that the Foreign Exchange Management (Insurance) Regulations, 2000 have been repealed and replaced by the 2015 Regulations. Also contains Annexures showing major changes.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR18557A831732AC4015BB51C20D0E7DFC76.PDF,
07-11-2016,External Commercial Borrowings (ECB) -Clarifications on hedging,"Provides clarity with respect to directions mentioned in the Master Direction No. 5 dated January 1, 2016, regarding hedging practices",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI110B9C767ECA2F345EBA74599E32586EA20.PDF,
04-11-2016,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Sixteenth Amendment) Regulations, 2016","Amended Schedule I of  the Foreign  Exchange  Management  (Transfer  or  Issue  of  Security  by  a  Person  Resident   outside India) Regulations, 2000 with respect to Pension",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/379FEMA6C808F733E7C4916B6D79E0F90199FC9.PDF,
03-11-2016,Issuance of Rupee denominated bonds overseas by Indian banks,"Indian banks allowed to issue, within the limit set for foreign investment in corporate bonds, Perpetual Debt Instruments  (PDI)  qualifying for inclusion as  Additional Tier 1  capital and debt capital  instruments qualifying for  inclusion as Tier 2 capital, by way of Rupee Denominated Bonds overseas; and Long term Rupee Denominated Bonds overseas for financing infrastructure and affordable housing.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT10715D00F793D6D44E88CB1666FB1A4E791.PDF,
28-10-2016,Money Market Futures,Interest Rate Futures based on any rupee denominated money market interest rate or money market instrument introduced on SEBI authorised stock exchanges.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI104BD13AF7CBF204129801DD054674E34E1.PDF,
27-10-2016,External Commercial Borrowings (ECB) by startups,Startups allowed to raise ECBs within the stipulated framework.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/13APDIRD559451DE8774C66917131E441B23B4C.PDF,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Tenth Amendment) Regulations, 2016",Annex B of Schedule 1 as well as Schedule 5 amended with respect to ARCs ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI3729F11790E03F342E687CA6B0910FC3F0B.PDF,
24-10-2016,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Eleventh Amendment) Regulations, 2016","Sub-paragraph 5 added to paragraph 2 of Schedule 1, with respect to issue of equity or preference shares or convertible debenures or warrants upto a limit of 5% of its capital or USD 500000, whichever is less, subject to conditions mentioned therein.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/373FEMAEED540393BA949CB8BCBD3D5BB8BFF4B.PDF,
20-10-2016,"Foreign Exchange Management (Manner of receipt and payment) Regulations, 2016",Contains a synopsis of the said regulation.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR11D9266C78B71840D1B24200CCE079B1F6.PDF,
,External Commercial Borrowings (ECB) -Extension and conversion,Simplifies the process of dealing with matured but unpaid ECB with respect to extension and conversion of such ECB.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR10E82DE85627714F929F9D73E9378DAF9E.PDF,
,Rupee Drawing Arrangement - Trade related remittance limit,"Permitted trade transaction, under the Rupee Drawing Arrangements (RDAs) not to exceed fifteen lakh rupees per transaction.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR0976D29F8F49554756A27014AC679C43D7.PDF,
,Foreign investment in Other Financial Services,"Foreign investment upto 100% under the automatic route permitted in 'Other Financial Services' including activities  which  are regulated by any financial sector regulator viz. Reserve Bank of India, Securities and Exchange Board of India, Insurance Regulatory and Development Authority, Pension Fund Regulatory and Development Authority, National Housing Bank or any other financial sector regulator as may be notified by the Government of India in  this  regard. Also contains other salient features of the new regulatory framework.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR087150F21E462D4D24AEDE64BDB65893C1.PDF,
,"Investment by a Foreign Venture Capital Investor (FVCI) registered under SEBI (FVCI) Regulations, 2000",Contains changes in the regulatory framework with respec to FVCIs with reference to permitted instruments and downstream investments.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR07BBAD7968F75544C39400B62F277E065B.PDF,
,Review of sectoral caps and simplification of Foreign Direct Investment (FDI) Policy,Highlights the salient features of the review of the FDI Policy ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR06BB0481D5251E4724B061078BD14A1B7A.PDF,
,NDS-OM Web Module -Access to Gilt Account Holders (GAHs),Offer of NDS-OM module to gilt account holders made mandatory for Primary Members for online trading in G-Secs.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI872714743822F34E819223E9837F59E664.PDF,
,Participation of Foreign Portfolio Investors (FPIs) in Government securities on NDS-OM platform,FPIs allowed to trade G-Secs in the secondary market through primary members of NDS-OM including the web module.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI860017E8FEB03A4BDDA965DB1FDBF97775.PDF,
06-10-2016,Import Data Processing and Monitoring System (IDPMS),AD Category-I banks directed to use IDPMS for reporting and monitoring import transactions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR051C9CB22CF5A84AD2923B441EB12CC8B6.PDF,
30-09-2016,Investment by Foreign Portfolio Investors (FPI) in Government Securities,Increase in investment by FPIs in Central Government G-Secs,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT72CBFD86AAB2614474AE0E0FC09734CE7B.PDF,
09-09-2016,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Thirteenth Amendment) Regulations, 2016",Schedule I of the Regulations amended with respect to Other Financial Services.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NTN37501077A8BEF8044A385B05D172202C1EB.PDF,
08-09-2016,"Corrigendum to Exchange Department, No. FEMA 5(R)/2016-RB, dated April 01, 2016 ",Schedule I amended with respect to loans outside India,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CORR26092016DCF7251BECF64042BBB63DA56702F27D.PDF,
,"Foreign Exchange Management (Deposit) Regulations, 2016",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N5R08092016FBB32CA62C904C429EFBAAE6C4A5B85A.PDF,
01-07-2016,Discontinuation of Reporting of Bank Guarantee on behalf of service importers,Discontinued with immediate effect.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI087626F0A1523A492EA2AD74678AC55476.PDF,
30-06-2016,Settlement System under Asian Clearing Union (ACU),Temporary suspension of operations in ACU Euro.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT441F2B2BA0C1F1347B785AE77DEEAC6AFC9.PDF,
,External Commercial Borrowings (ECB) -Approval Route Cases,ECB proposals received in the RBI above a certain threshold to be placed before the Empowered Committee. RBI to take final decision taking into account the recommendation of the Empowered committee.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP80040A3B29441046A5A5E3F4C404888B29.PDF,
23-06-2016,Permitting writing of options against contracted exposures by Indian Residents,"Permits resident exporters and importers of goods and services to write (sell) standalone plain vanilla European call and put option contracts against their contracted exposure, i.e. covered call and covered put respectively, to any AD Cat-I bank in India subject to operational guidelines, terms and conditions",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR788D1F8E4D98054014B33CC5D13CA72529.PDF,
,"Foreign Exchange Management (Foreign Currency Accounts by a person resident in India) Regulations, 2015",Indian startups having overseas subsidiaries permitted to open a foreign currency account with a bank outside India and payments received in foreign exchange by such startup will be a permissible credit to the Exchange Earners Foreign Currency account maintained by the startup.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR773239B5929AC945BF9CB3357F7B78AA92.PDF,
01-06-2016,"Foreign Exchange Management (Foreign currency accounts by a person resident in India) Regulations, 2015",Updated as on date.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI10R.PDF,
,"Foreign Exchange Management (Foreign Currency Accounts by a person resident in India) (Amendment) Regulations, 2016",Amendment to Regulation 5 and Schedule 1.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT10R090616AA138DC4FB5949E1B87E0BC956911642.PDF,
26-05-2016,"Foreign Exchange Management Act, 1999 (FEMA)Foreign Exchange (Compounding Proceedings) Rules, 2000 (the Rules) - Compounding of Contraventions under FEMA, 1999",Contains public disclosure guidelines regarding compounding proceedings.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR73A1661310010B4D5C99D0D967738E9943.PDF,
,"Export Data Processing and Monitoring System (EDPMS) - Additional modules for caution listing of exporters, reporting of advance remittance for exports and migration of old XOS data","Returns related  to  (a) handling  of 
shipping bills for caution listed exporters; (b) delayed utilisation of advances received for exports; and (c)  exports outstanding with Export  Data  Processing  and  Monitoring System (EDPMS) integrated.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT4147D02EB7EF9534555A50D7CA952A686E6.PDF,
,Memorandum of Procedure for channeling transactions through Asian Clearing Union (ACU),Revision of minimum amounts,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT4115E65C039EC7541F5BA1C1BD35043E8FE.PDF,
20-05-2016,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (SeventhAmendment) Regulations, 2016",Regulation 10A regarding deferred payments inserted.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI3688A52793BDD4542A3BEF8D3AB8C5AD4D3.PDF,
19-05-2016,Rupee Drawing Arrangement -Submission of statement/returns under XBRL,Reporting by banks to be made in XBRL,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT402443329B717884DD793FF564180E6D482.PDF,
,Money Transfer Service Scheme -Submission of statement/returns under XBR,Reports to be submitted in XBRL format.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT401EDD3F92532FD4424993F295A5C97F444.PDF,
12-05-2016,Establishment of Branch Office (BO)/ Liaison Office (LO)/ Project Office (PO) in India by foreign entities - procedural guidelines ,Salient provisions of the procedure for a person resident outside India to open a branch office or a liaison office or a project office,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/69APDIR12051623809C574BEA474E97644FED5B1DA9C5.PDF,
,"Foreign Exchange Management (Exports of Goods and Services) Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD6883071E462E56498C99FF8DDB9DD8A916.PDF,
,"Corrigendum to Exchange Department, No. FEMA 11(R)/2015-RB, dated December 29, 2015","Regulation 4 - in first line, for “clause (iv) of Regulation 3” read “clause (iii) of Regulation 3”. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA11CE7E4570BB2C492FA436F67AB6B56085.PDF,
05-05-2016,"Foreign Exchange Management (Deposit) Regulations, 2016",Revised regulations to regulate deposit between a person resident in India and a person resident outside India.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP67FDE068FF27AC41ECA639F7EE37AEE679.PDF,
02-05-2016,"Foreign Exchange Management (Manner of Receipt and Payment) Regulations, 2016",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FNT14RBBC96EA1D8574325AF4314261DE5133A.PDF,
28-04-2016,Opening and Maintenance of Rupee / Foreign Currency Vostro Accounts of Non-Resident Exchange Houses: Rupee Drawing Arrangement,Mandated requirement of maintenance of collateral or cash deposit by Exchange Houses with whom banks have netered into Rupee Drawing Arrangements withdrawn.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT386CF63335438DD46978C2237485F5A33F5.PDF,
,Import of Goods: Import Data Processing and Monitoring System (IDPMS),Introduction of IDPMS,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT385141BDC320E7247C59EC979DDF50E6566.PDF,
,"Foreign Exchange Management (Remittance of Assets) Regulations, 2016",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT384BA60E2604EE742358C9C645BDF477D74.PDF,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Third Amendment) Regulations, 2016","Amendment to Regulation 2, Regulation 5 and Schedule 6",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NTF363AA301BD472E1485FAE389FC652B868A8.PDF,
21-04-2016,"Foreign Investment in units issued by Real Estate Investment Trusts, Infrastructure Investment Trusts and Alternative Investment Funds governed by SEBI regulations",Allows foreign investment in the units of Investment Vehicles registered and regulated by SEBI or any other competent authority. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT377D62BA8DB105543EA8CB5B2F26D805C24.PDF,
13-04-2016,Overseas Direct Investment (ODI) -Rationalization and reporting of ODI Forms ,Contains details of revised forms.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP.PDF,
,Issuance of Rupee denominated bonds overseas,"Rules for issuing rupee denominated bonds revised with respect to who can issue and who can subscribe to such bonds, minimum maturity period for such bonds reduced to 3 years and reporting requirements clarified.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP6090DB7643EF9E417498C1F37B49BE27A2.PDF,
,Overseas Direct Investment - Submission of Annual Performance Report,Submission requirements for Annual Performance Reports modified.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP61F8714A04A1E44643A42FBA92420BDA33.PDF,
,Acceptance of deposits by Indian companies from a person resident outside India for nomination as Director,"Clarification that keeping of deposits with an Indian company by person resident outside India  seeking nomination as director under section 160 of the Companies Act, 2013, is a current account transaction.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP5907BF9FAECD3F44D6835741528B46CAD6.PDF,
,"Corrigendum to Exchange Department, No. FEMA 362/2016-RB, dated February 15, 2016","Sectoral caps for defence industry subject to Industrial license under the Industries (Development & Regulation) Act, 1951, Single Brand product retail trading and duty free shops modified.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CN36299D9F0FEEBA0443AB5364B035122574A.PDF,
01-04-2016,"Foreign Exchange Management (Deposit) Regulations, 2016",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTINO5(R)DE2833D3DFA8415BA5B586CFA3D4A946.PDF,
,"Foreign Exchange Management (Remittance of Assets) Regulations, 2016",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTINO13(R)9549F48BFAF549C59820BF971FC2888E.PDF,
31-03-2016,"Foreign Exchange Management (Establishment in India of a branch office or a liaison office or a project office or any other place of business) Regulations, 2016","Regulations to prohibit, restrict and regulate establishment in India of a branch office or a liaison office or a project office or any other place of business by a person resident outside India",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/22RNT04042016CCF68741715D47F887DE23B7B550A83A.PDF,
,"Import of Rough, Cut and Polished Diamonds",The period for approving Clean Credit increased beyond 180 days from date of shipment to Ad banks in certain circumstances.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT351B20B03B558624EDAA83C2832DBDFB40E.PDF,
,Foreign Direct Investment (FDI) in India - Review of FDI policy -Insurance sector,The limit of foreign investment in insurance sector increased from 26% to 49% under the automatic route.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/58APDIR310316B2A39CA6417B413D94BA95E2BE2DFE2D.PDF,
30-03-2016,External Commercial Borrowings (ECB) - Revised framework,"Modifications with respect to infrastructure sectorm holding companies and Community Interest Companies with further clarifications regarding NCDs, FCEBs and FCCBs.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR563092BC2342FA494ABB58D5044F0D9FA6.PDF,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Fifth Amendment) Regulations, 2016",FDI Cap for Insurance changed to 49% under the automatic route.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NTF366A1D5F2A343C04A4381DD26AFF9A3921B.PDF,
29-03-2016,Investment by Foreign Portfolio Investors(FPI) in GovernmentSecurities,Limits for investment by FPIs in G-secs increased.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR3481DAC06282466495AA0A3891C416F5FB2.PDF,
23-03-2016,Diamond Dollar Account (DDA) - Reporting Mechanism,Reporting requirements relaxed in terms of fortnightly statements giving DDA balances.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT346282BE3B21402467A82F467F20BD7E0BA.PDF,
03-03-2016,Grant of EDF Waiver for Export of Goods Free of Cost,"Permits AD Category I Banks to consider  requests  from  Status Holder exporters for grant of Export Declaration Form (EDF) waiver, for export of goods free of cost based on the revised norm.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP538D9C23E7B6DD430E87CDA74147B58A2C.PDF,
